text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
"shop đóng_gói cẩn_thận , giao hàng nhanh . bé mình uống hợp . sẽ ủng_hộ thêm",0,0,0,1,1,0
"giao hàng nhanh , chắc_chắn , sản_phẩm tốt , sẽ ủng_hộ shop dài_dài",0,0,0,1,1,0
shop giao hàng khá nhanh đóng cẩn_thận nhưng vẫn bị móp một hộp . mình chưa dùng nên không đánh_giá chất_lượng,0,1,0,0,1,0
hình_ảnh không liên_quan . nhưng shop giao hàng nhanh . đóng_gói cẩn_thận . mình mua nhiều lần của shop rồi .,0,0,0,0,1,0
"shop bán flash sale giá tốt quá , hộp giao nguyên_vẹn , hạn sử_dụng 202 ưng_ý luôn",1,0,1,0,1,0
laz không tính phí ship và giao hàng sau 1 ngày . shoppe tính thêm phí giao hàng và giao hàng lâu . hên là chưa hết sữa mua dự_trữ sẵn trc . chứ mà đợi shop giao chắc con đói .,0,0,0,0,-1,0
sp tốt nha,0,0,0,1,0,0
giao hàng nhanh dã_man đóng_gói cẩn_thận nữa nè mọi người nên mua ak,0,0,0,0,1,0
tôi mua trữ sẵn cho con nhân lúc khuyến_mãi . ngay_dịch nên giao hàng hơi lâu . có lẻ do bên vận_chuyển delay,1,0,0,0,-1,0
sữa thơm ngon không biết bé có tăng cân không ạ nếu hiệu_quả nhất_định sẽ ủng_hộ dài_dài,0,0,0,1,0,0
"hàng chất_lượng , mua của shop rất nh lần r 👍",0,0,0,1,0,0
sữa bé uống oke ạ . uống nhiều rồi nhưng chỉ tin_dùng hãng này thui . mua được giá rẻ quá ạ . mua 2 lon rồi lại đặt thêm lon nữa .,1,0,0,1,0,0
rất hài_lòng . shop đóng_gói hàng cẩn_thận . đúng date . sẽ còn ủng_hộ lần sau,0,0,1,0,1,0
"lần này mua hàng của shop thấy rất thất_vọng , bị méo mất 1 hộp , giao hàng thì tận 12 hôm mới nhận được hàng , nhưng thoi vì hay mua hàng của shop nên vẫn cho shop 5 sao và vẫn tiếp_tục ủng_hộ shop ☺ ️ ☺ ️",0,0,0,0,-1,0
"đã mua nhiều lần , shop . phát hàng nhanh , phục_vụ tốt . sẽ ủng_hộ lâu_dài",0,1,0,0,1,0
"giao hàng nhanh . đóng_gói sản_phẩm cẩn_thận , chất_lượng sản_phẩm tốt",0,0,0,1,1,0
hộp bị móp,0,0,0,0,-1,0
"sữa chuẩn , đóng_gói cẩn_thận , đã mua 3 - 4 lần tại shop và vẫn tiếp_tục ủng_hộ",0,0,0,0,1,1
giao hàng nhanh . sản_phẩm hài_lòng . sẽ ủng_hộ,0,0,0,1,1,0
giao hàng gói chắc lượng sản_phẩm tốt . bé rất thích hài_lòng . ❤,0,0,0,1,1,0
giao hàng bình_thường lon sữa bị mốp nhưng không sao chất_lượng tốt sẽ mua tiếp,0,0,0,1,-1,0
"đóng_gói cẩn_thận , sản_phẩm như trong hình , tuyệt_vời ad ơi",0,0,0,0,1,1
"giao hàng nhanh , mua lần nào cũng có quà tặng kèm",0,1,0,0,1,0
