Text,giá
"gói cẩn_thận , tốt , hàng đúng chuẩn kì hài_lòng",1
"giao hàng siêu , check mã_vạch ok . không sợ lừa cắt . 5",1
shop đóng_gói siêu cẩn_thận . giao hàng . hàng vẻ chuẩn,1
"mua hàng tiki , hàng đóng_gói cẩn_thận , đẹp , sản_phẩm y hình , dễ_thương . giá tiền . giao hàng . ủng_hộ tiki lâu_dài kỳ hài_lòng sản_phẩm , mẹ mua",1
"giao hàng , đúng sản_phẩm , đóng_gói đẹp",1
"shop giao hàng , không như quảng_cáo nhắn_tin . nhắn shop toàn trả_lời tự_động . mã giảm_giá hạn không đc . mãi không giao . chán thái_độ .",-1
mua 12 / 2 18 / 2 giao . đóng_gói không kỹ lắm . test mã_vạch hình . chưa không chất_lượng,1
tem cty đầy_đủ . giá_cả . ko mất ship . ủng_hộ shop lâu_dài,1
"kb sữa nguồn_gốc như , không thơm , như_không vị béo như sữa a2 mua chỗ quen trừ shop rẻ chỗ m mua 100k : )",-1
"giá rẻ , sản_phẩm hãng , ủng_hộ tiếp . mẹ mua kì hài_lòng",1
hàng mua chưa chưa chất_lượng hãng yên_tâm kì hài_lòng,1
2 mua shop . hàng đủ tem mác . chất_lượng ok . hy_vọng niềm đúng chỗ . shop đóng_gói cẩn_thận . giao hàng j & t . tks,1
"sản_phẩm hãng , giá cạnh_tranh . thanks_tiki . ủng_hộ .",1
"hàng chuẩn , tiki giao hàng , balo mini gọn yêu lắm mua",1
"không 5 tem cào rách một_chút , tin_tưởng không hàng giả",-1
"không hoá_đơn , tem rách , đóng_gói không cẩn_thận hài_lòng",1
"hàng chuẩn , giao hàng . kì hài_lòng",1
"hàng chuẩn , check mã_vạch , đóng_gói , giao hàng",1
"mua shop , sữa check mã vỏ chày xước bọc kỹ_càng . giao hàng bọc cẩn_thận",1
hàng_hóa méo hộp . vỏ nắp hộp nhăn_nheo . không chất_lượng đúng chuẩn enfa ko ? hàng tặng không hình_ảnh . méo,-1
"hơi bao_bì mấy lon mua tiki , quét mã thông_tin đúng , vị thơm ngon",1
shop gói cẩn_thận hộp không móp . check code . hi_vọng bé ổn .,1
"giao hàng cực bỉm chuẩn mặc mỏng nhẹ , mềm ủng_hộ tiếp",1
hàng hãng giao hàng . giá canh sale mềm chuẩn,1
"hàng chuẩn , ủng ỉn chế dài_dài !",1
mua shop . hàng chuẩn . giao hàng . ủng_hộ shop,1
"giao hàng kỹ , hàng hãng , ủng_hộ tiếp kì hài_lòng",1
"mua 2 , giao hàng , đóng_gói cẩn_thận , sản_phẩm tem nhãn phụ tiếng việt đầy_đủ . shop",1
check mã_vạch không hiển_thị sản_phẩm,1
"hàng . shop đóng_gói cẩn_thận , giao hàng , sữa chuẩn uống ngon . mua thường_xuyên shop . hài_lòng .",1
đúng hãng tốt mua kì hài_lòng,1
"tin_tưởng sản_phẩm shop , tem rõ_ràng , gói cẩn_thận , ủng_hộ shop tiếp",1
hàng y_như hình chất_lượng oke,1
"đóng_gói sản_phẩm cẩn_thận , sản_phẩm đúng mô_tả , chất_lượng sản_phẩm tốt",1
giao hàng dự_kiến . hàng tốt . hãng . cám_ơn tiki kì hài_lòng,1
"mua . chất_lượng tốt , giá_thành rẻ mua . tem đầy_đủ",1
giao hàng . gói hàng chèn xốp méo hộp . tem dán chống hàng giả,1
tã mềm mịn . hàng chuẩn . đóng_gói cẩn_thận . mua giá sale rẻ chuẩn hãng,1
hàng hãng . tốt kì hài_lòng,1
hàng giao đúng như quảng_cáo . ko kịp chụp hình hình đỡ .,1
sữa hãng giá cực tốt nha . mua loại tiết_kiệm lắm . mua . cám_ơn shop,1
lon hơi mã sp . chưa khui lon chưa chất_lượng,1
sản_phẩm hãng . shop giao hàng . hi,1
uống quên chụp ảnh . hàng hãng . sữa ngon ngậy thơm .,1
hàng oke hãng giá tốt ủng_hộ shop .,1
chek mã_vạch hàng chuẩn úc,1
"hài_lòng giao mua r , chất , mua",1
shop giao hàng . gói hàng cẩn_thận . hàng chuẩn ok . giá rẻ . dịch săn voucher mua tích_trữ dần,1
đóng_gói cẩn_thận giao hàng nhanh_chóng . sữa sản_phẩm uy_tín . mẹ yên_tâm shop phục_vụ .,1
"hàng hãng , hạn , shop gói miếng xốp , không thân_thiện môi_trường .",1
sản_phẩm tốt . uy_tín chất_lượng . ủng_hộ shop dài_dài,1
"giao hàng , hôm_nay_mai , sản_phẩm hàng gốc",1
đóng_gói . giao siêu 😻 hàng công_ty đỡ lo trúng hàng giả !,1
"sản_phẩm tốt , hãng , bé mặc thoải_mái , thanks tiki",1
"hàng đúng , rẻ ok . thử bé ủng_hộ shop tiếp .",1
"giao hàng , quét mã sản_phẩm hãng kì hài_lòng",1
sản_phẩm tốt giao hàng chuẩn sữa úc hạn ủng_hộ tiếp,1
"sữa chuẩn , đóng_gói cẩn_thận , mua 3 - 4 shop ủng_hộ",1
"sữa hãng , mua shop . shop flash sale",1
chưa hộp vẻ chuẩn .,1
"đóng hàng , sản_phẩm chuẩn kì hài_lòng",1
giá_cả không rẻ đóng_gói giao hàng hàng đủ tem,1
"hàng đúng như hình , chất_lượng ổn , giá hợp_lí , giao hàng kì hài_lòng",1
"kén chỗ mua lắm , sợ sữa giả , ma tiki yên_tâm , tiki tốt lắm tâm mua tiki",1
giao hàng . đóng_gói hàng cẩn_thận . hàng hãng . hsd_dài,1
"hàng giao y hình . đóng_gói cẩn_thận . giao hàng , chu_đáo . cám_ơn tiki ! kì hài_lòng",1
hàng chuẩn giá tốt,1
tiki giao hàng hàng đúng chuẩn 👍 kì hài_lòng,1
"sản_phẩm tốt , đúng như quảng_cáo . , giao hàng hơi một_chút . kì hài_lòng",1
giao hàng . sữa check mã_vạch . giao nowship sữa túi không đơn bọc gói,1
hàng chuẩn giá oke ủng họp shop tiếp,1
"shop làm_ăn tâm lắm , giao hàng đúng hình , đóng_gói cẩn_thận giao hàng ủng hô shop",1
"bao_bì kiểu bóng mờ , hơi loại mua . không tnao .",1
hàng đúng chuẩn ủng_hộ shop dài_dài giá_cả rẻ thị_trường .,1
"shop giao hàng , sản_phẩm , bao_bì , tem chống hàng giả dán nhãn tiếng việt rõ_ràng , ủng_hộ shop",1
giá tốt . hạn . hàng chuẩn mùi thơm dịu nhẹ dễ_chịu . kì hài_lòng,1
chất_lượng oke hàng đúng hình chưa chưa chất_lượng,1
hàng siêu nhanh_chóng ủng_hộ shop dài_dài tem chuẩn 😁,1
"sữa tem đầy_đủ , tội hộp sữa móp mặc_dù đóng_gói cẩn_thận . không xịn không . giải_đáp thắc_mắc , mua tiếp .",-1
hàng chuẩn hạn nha ! shop hàng ! mua !,1
giao hàng hàng chuẩn chất_lượng tốt giá rẻ mua,1
"sản_phẩm như miêu_tả , shop bọc cẩn_thận , không móp méo . chất_lượng chưa chưa . mua thử 1 hộp , ổn tiếp .",1
hàng rùi . shop . hàng giao đúng như thông_tin sản_phẩm 7 / 2021 . ủng_hộ shop nha .,1
sản_phẩm như hình kì hài_lòng,1
mua shop . hàng chuẩn tem mác đầy_đủ . giao hàng siêu . ủng_hộ tiếp,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng hãng,1
"giao hàng , đóng_gói cẩn_thận , sữa nguyên tem , nhãn , hạn",1
"giao hàng , đóng_gói , hàng chuẩn",1
