text,aspect1,aspect2,aspect3,aspect4,aspect5
ấn_tượng biệt_thự khánh lâm hoàn_toàn mong_đợi chủ_nhà niềm_nở thân_thiện tạo ấn_tượng tốt chỗ đậu xe phòng thoáng_mát thoải_mái an_ninh,1,1,0,0,0
chủ_nhà nhiệt_tình đón khách phòng bình_thường phụ_thu,1,-1,0,0,0
thái_độ phục_vụ nhân_viên chủ_nhà nồng_nhiệt,1,0,0,0,0
cảm_thấy xúc_động check out trời mưa nhân_viên nhiệt_tình cầm ô đón taxi cho_mình,1,0,0,0,0
phòng tốt lắm,0,1,0,0,0
sạch_sẽ bố_trí lát_gạch phone nội_bộ lối_vào phòng xứng_đáng gọi_là biệt_thự nghỉ một_chút,0,1,0,0,0
biệt_thự khánh lâm xinh_đẹp phòng_ốc sạch_sẽ thuận_tiện chủ_nhà nhiệt_tình,1,1,0,0,0
biệt_thự khánh lâm không_khí thoải_mái nhân_viên nhiệt_tình giá_cả hợp túi_tiền đặc_biệt không_tính phụ_thu,1,1,0,1,0
nói_chung ổn phòng tạm_được,0,1,0,0,0
vị_trí biệt_thự khánh lâm_hơi trung_tâm phòng_ốc sạch_sẽ quản_lý thân_thiện,1,1,0,1,0
có_ăn biệt_thự khánh lâm ko_biết stick 5 đẹp phòng rộng_rãi đồ_đạc hỏng_hóc nhỏ_nhặt khách_sạn khác_thường bỏ_qua,0,1,0,1,-1
nằm rìa chợ đường phan_đình_phùng nguyễn_công_trứ,0,0,0,1,0
không_gian yên_tĩnh đẹp xích_đu ý_kiến xích_đu gái,0,1,0,0,0
nhân_viên nhiệt_tình trách_nhiệm,1,0,0,0,0
đêm xe sân khóa_cổ ngủ quên_mất quản_lý ngồi chờ 11h đợi chìa_khóa dắt_xe,1,0,0,0,0
khách_sạn tốt mức_giá,0,1,0,1,0
vị_trí cách_xa trung_tâm biệt_thự khánh lâm_có giá phòng hợp_lý phòng đẹp quản_lý nhân_viên tận_tình thân_thiện,1,1,0,1,0
từ_vị_trí thuận_lợi tham_quan địa_danh đà_lạt thung_lũng vàng thung_lũng tình_yêu lambiang,0,0,0,1,0
biệt_thự khánh_lâm đà_lạt sạch_sẽ,0,1,0,0,0
chủ khách_sạn nhiệt_tình khách,1,0,0,0,0
nói_chung khách_sạn tốt,0,1,0,0,0
biệt_thự khánh_lâm tốt đà_lạt trú_chân,0,1,0,0,0
khách_sạn cảm_thấy sự_nồng_nhiệt chủ khách_sạn,1,0,0,0,0
không_gian thoáng đãng phòng sạch_sẽ yên_tĩnh thích_hợp nghĩ_dưỡng không_thích không_gian ồn_ào,0,1,0,1,0
khách_sạn nằm hơi_gần chợ nằm tuyến đường phan_đình_phùng quán_ăn nem bà_hùng bánh_bèo hường ngon,0,0,1,1,0
"chủ khách_sạn nhân_viên thân_thiện hiếu_khách khách người_nhà, phòng đẹp, giá hợp_lý",1,1,0,1,0
"khách_sạn phòng sạch_sẽ, thiết_bị hiện_đại",0,1,0,0,1
"chủ khách_sạn thân_thiện nhiệt_tình hướng_dẫn cẩn_thận, giá cả tuyệt_vời, đồ ăn ngon",1,0,1,1,0
khách_sạn khánh_lâm nhiệt_tình chu_đáo khách tận_tình hướng_dẫn địa_điểm ăn_uống vui_chơi gia_đình có_được sự_lựa_chọn tốt thật_là tuyệt_vời,1,1,0,0,0
"khach san co nhân_viên phục_vụ tận_tình rat_thich, phòng_đẹp",1,1,0,0,0
chất_lượng phòng dịch_vụ agribank hoi an beach resort tốt lắm xứng_đáng đẳng_cấp 4,1,1,0,0,0
agribank hoi an beach resort chứng_kiến 8 khách phàn_nàn lễ_tân,-1,0,0,0,0
"nhân_viên ăn_mặc luộm_thuộm, vị_trí không_đẹp, thiết_bị cũkĩ",-1,0,0,-1,-1
"nhà_hàng ăn ngon, phòng_đẹp",0,1,1,0,0
"dịch_vụ chudu24 tốt hài_lòng agribank hoi an beach resort vị_trí đẹp không_gian rộng_rãi thoáng_mát tắm_biển tắm hồ bơi thích, thiết_bị hỏng nhiều",1,0,0,1,-1
"đồ_ăn nhiều lựa_chọn ăn_ngon, giá_rẻ",0,0,1,1,0
"vị_trí đẹp khuôn_viên resort sạch_sẽ thoáng_mát, phòng đẹp, dịch_vụ tốt",1,1,0,1,0
"bể_bơi tốt bé thích, ăn ngon",0,0,1,0,1
"nhân_viên không nhiệt_tình đặc_biệt lễ_tân buồng, thiết_bị cũ, đồ_ăn tệ",-1,0,1,0,-1
"trang_thiết_bị phòng hơi cũ chủ_nhật dọn phòng sạch_sẽ alo dọn, dịch_vụ tốt",1,1,0,0,-1
"agribank hoi an beach resort đẹp phòng ocean view bờ_biển ban_công nhìn biển bể_bơi, đồ_ăn ngon",0,1,1,1,0
"nhu_cầu resort bãi_biển, phòng đẹp riêng hội an giá_cả vừa_phải agribank hoi an beach resort hợp_lý",0,1,0,1,0
dãy phòng xây 2 trở_lại hơi không view xung_quanh dãy cây_cối xanh mát,0,1,0,0,0
"nhân_viên nhiệt_tình, đồ_ăn ngon, giá phù_hợp",1,0,1,1,0
đồ_ăn bình_thường không_có đặc_sắc,0,0,-1,0,0
Khách_sạn có_nhiều quán_ăn_ngon 1km đi_bộ taxi rẻ,0,0,1,1,0
"agribank hoi an beach resort vị_trí đẹp nhân_viên lễ_tân phục_vụ tốt khách điện_thoại hỏi nước_dùng phòng_đẹp yêu_cầu khách gọi_điện 333 nhân_viên xử_lý khách ở_lại phục_vụ đồ_ăn kém phòng bỏ đồ hết_hạn sử_dụng không xứng_tầm resort 4 quá_tệ, giá_cả",1,1,-1,1,-1
dịch_vụ chudu24 thuận_tiện tốt,1,0,0,0,0
